company,role,skills,cgpa_required
Apex Innovations,UI/UX Designer,"Figma, Git, Adobe XD, Sketch, API Development",7.4
P pinnacle Corp,Security Analyst,"JIRA, SIEM, Cybersecurity, Ethical Hacking, Penetration Testing, Agile, Network Security",7.8
NeuralNet Systems,Software Engineer,"API Development, Scrum, Algorithms, Git, Data Structures, Agile",8.3
Quantum Solutions,Data Scientist,"SQL, Pandas, Deep Learning, API Development, TensorFlow",7.4
BlueShift,Data Scientist,"SQL, Machine Learning, Statistics, API Development, R, Python, Git, JIRA",8.2
QuantumLeap,DevOps Engineer,"Terraform, Docker, API Development, JIRA, AWS, Azure",7.4
SynthCore,Data Analyst,"Agile, Pandas, Statistics, Tableau",9
CyberGuard,Frontend Developer,"React, HTML, Agile, Redux, Next.js, SASS, TypeScript",9
CyberGuard,Cloud Architect,"Git, API Development, Terraform, Agile, Azure, System Design, JIRA, Networking",7.3
FusionWorks,Backend Developer,"Python, Go, Java, Docker",8.5
Zenith Tech,Data Analyst,"Scrum, Power BI, SQL, Data Visualization",8.6
NextGen AI,UI/UX Designer,"Sketch, JIRA, User Research, Adobe XD, Git",7.7
ByteForce,Mobile App Developer,"Swift, Objective-C, Kotlin, Agile, Scrum, Flutter, API Development, Git",7.2
Orion Enterprises,Machine Learning Engineer,"TensorFlow, NLP, Scikit-learn, Python, Keras, Computer Vision, JIRA",7.3
Omega Solutions,Frontend Developer,"HTML, Git, Agile, Webpack, React, Redux",7.5
BioSynth,Software Engineer,"API Development, C++, Java, Python, Kubernetes, Algorithms, Docker, System Design",8.8
Infinite Loop,Backend Developer,"JIRA, Go, Ruby, SQL, Docker, C#, API Development, Python",8.6
Alpha Systems,Cloud Architect,"Terraform, AWS, Networking, Kubernetes, JIRA",7.4
BinaryBridge,Backend Developer,"Agile, API Development, Go, PostgreSQL, GraphQL",8.9
Quantum Solutions,Backend Developer,"Agile, PostgreSQL, Git, Python",7.8
AquaGen,DevOps Engineer,"Ansible, Git, CI/CD, Agile, JIRA",8.6
LogicLoop,UI/UX Designer,"Scrum, Sketch, API Development, Figma, Adobe XD",8.8
CloudNine,Mobile App Developer,"Git, Android SDK, Swift, Agile, Scrum",8.3
P pinnacle Corp,Software Engineer,"Scrum, Kubernetes, System Design, JIRA, Docker, C++",7.4
PixelPerfect,Security Analyst,"JIRA, Cybersecurity, Cryptography, Network Security, API Development, Penetration Testing, Scrum, Agile",8.9
NeuralNet Systems,Frontend Developer,"React, Next.js, JavaScript, TypeScript, Git, Angular, CSS, Scrum",8.2
LogicLoop,Security Analyst,"SIEM, Penetration Testing, JIRA, Scrum",7.2
Momentum Labs,Frontend Developer,"SASS, CSS, Agile, JavaScript, Git, React",7.4
InfraCloud,Backend Developer,"PostgreSQL, API Development, NoSQL, Agile, SQL, Docker, REST APIs, GraphQL",8.3
Visionary AI,Backend Developer,"Kubernetes, PostgreSQL, Go, API Development, SQL, REST APIs",7.9
Alpha Systems,Cloud Architect,"Agile, System Design, Terraform, Networking, Security, Kubernetes, AWS",7
Apex Innovations,Frontend Developer,"SASS, Agile, React, HTML, JIRA, Redux, TypeScript, API Development",7.3
BioLogics,Backend Developer,"Go, Node.js, Docker, Kubernetes, Git, REST APIs, NoSQL",7.5
P pinnacle Corp,Security Analyst,"Scrum, Cryptography, Network Security, Cybersecurity, SIEM, JIRA, Agile, Ethical Hacking",7.4
BioLogics,Security Analyst,"Cryptography, Agile, Ethical Hacking, Network Security, Scrum, JIRA, Cybersecurity, SIEM",8.4
CloudNine,Data Analyst,"Python, Scrum, Excel, SQL, API Development, JIRA, Data Visualization",8.7
AquaGen,Cloud Architect,"API Development, Security, JIRA, Azure, Scrum, Networking, System Design, Git",8.7
SynthCore,Machine Learning Engineer,"Scikit-learn, NumPy, NLP, JIRA",8.9
InfraCloud,Data Analyst,"Statistics, Git, Python, SQL, Tableau, API Development, Power BI",8.8
NanoWare,UI/UX Designer,"Scrum, Agile, JIRA, Figma, API Development, User Research, Adobe XD, Git",8.7
Keystone Digital,Machine Learning Engineer,"Git, Python, NumPy, JIRA, Pandas, PyTorch",8.8
CodeCrafters,Data Analyst,"Power BI, SQL, Statistics, Scrum, Pandas",8.6
InfraCloud,Data Scientist,"PyTorch, TensorFlow, Scrum, Pandas, Statistics, JIRA, Deep Learning, Python",8.7
Infinite Loop,Security Analyst,"Agile, API Development, Network Security, SIEM, JIRA, Cryptography, Ethical Hacking, Penetration Testing",8.6
TerraForm Inc.,Data Analyst,"Git, Tableau, API Development, Scrum",8
HelioDynamics,Cloud Architect,"System Design, API Development, Terraform, Scrum",8.5
FutureProof,Frontend Developer,"Git, React, API Development, SASS",7.6
CodeCrafters,Security Analyst,"Cryptography, Scrum, Network Security, Cybersecurity, Git, SIEM, API Development, Agile",7.5
Synapse Corp,Security Analyst,"Agile, Cryptography, API Development, Penetration Testing, SIEM, Network Security",8.1
AeroVerse,Cloud Architect,"Agile, Networking, API Development, System Design, Security, JIRA, Kubernetes, Terraform",8.1
Momentum Labs,Backend Developer,"Java, SQL, Ruby, Scrum, C#, Python, Agile, API Development",7.4
DataSphere,UI/UX Designer,"Wireframing, Agile, Scrum, Adobe XD, Sketch, JIRA, API Development, Figma",8.4
InfraCloud,Full-Stack Developer,"Scrum, MongoDB, Node.js, Agile, React, Python",7.2
CodeCrafters,Data Scientist,"Git, Python, Scikit-learn, TensorFlow",7.6
Quantum Solutions,Mobile App Developer,"Swift, Scrum, React Native, Android SDK, Agile, Git, Flutter, JIRA",8.3
EchoSphere,Software Engineer,"Kubernetes, Go, Docker, Git, Agile, API Development, Data Structures, C++",7
ByteForce,Cloud Architect,"AWS, API Development, JIRA, Kubernetes, Git, System Design, Scrum, Google Cloud Platform",8.8
DigitalFrontier,Backend Developer,"Go, Ruby, API Development, Java, Python, SQL, Docker, Kubernetes",7.5
Apex Innovations,Data Analyst,"JIRA, Git, Excel, SQL, Agile, Scrum, Power BI",7.2
Predictive Analytics,UI/UX Designer,"Wireframing, User Research, UI/UX Design, Agile, JIRA, Figma, Scrum",8.6
EchoSphere,Machine Learning Engineer,"Computer Vision, Python, NumPy, TensorFlow, Agile, Pandas, API Development",8.2
NeuralNet Systems,Mobile App Developer,"Git, Android SDK, Swift, Scrum, Agile, Flutter, Objective-C, API Development",7.8
BioLogics,Cloud Architect,"Kubernetes, System Design, Git, Azure, Networking",9
Alpha Systems,Data Scientist,"Pandas, Machine Learning, NumPy, PyTorch, Scrum",7.1
Synergy Systems,Backend Developer,"API Development, JIRA, Python, MongoDB",7.4
AeroVerse,Data Scientist,"Statistics, Data Visualization, R, JIRA, Git",8.9
FutureProof,Software Engineer,"System Design, API Development, Kubernetes, Java, JIRA",7.8
QuantumLeap,Mobile App Developer,"Agile, API Development, Swift, Android SDK, React Native, Scrum",7.1
WebWeavers,Data Scientist,"NumPy, JIRA, Pandas, TensorFlow, Data Visualization",7
P pinnacle Corp,Data Scientist,"NumPy, Git, Scikit-learn, SQL",8.2
Vertex Dynamics,Backend Developer,"JIRA, GraphQL, NoSQL, Java, API Development, Node.js, Python",8.7
Vertex Dynamics,Machine Learning Engineer,"Pandas, PyTorch, Agile, Keras",8.8
LogicLoop,Cloud Architect,"Git, Google Cloud Platform, Security, Agile, Kubernetes, API Development",7.4
Quantum Solutions,Machine Learning Engineer,"NLP, NumPy, PyTorch, TensorFlow, Agile, Scrum, JIRA",7.2
SkyBridge,Machine Learning Engineer,"Computer Vision, Git, PyTorch, Keras, Pandas",8
NovaPulse,Backend Developer,"Git, Agile, REST APIs, Kubernetes, PostgreSQL",7.1
Apex Innovations,UI/UX Designer,"Wireframing, Git, UI/UX Design, Agile",7.1
Omega Solutions,Software Engineer,"JIRA, Data Structures, Java, Git, Go, Kubernetes, Agile",8.8
DigitalFrontier,UI/UX Designer,"Figma, Adobe XD, Sketch, User Research, Git, API Development, Scrum",8.1
Polaris Tech,UI/UX Designer,"API Development, Git, Wireframing, UI/UX Design, User Research, Scrum, Sketch, Adobe XD",7.1
Synapse Corp,Full-Stack Developer,"SQL, JavaScript, REST APIs, Python, Agile, MongoDB",7.8
NetSphere,Security Analyst,"Network Security, SIEM, Ethical Hacking, Penetration Testing, Git, Scrum, Cryptography, Cybersecurity",8.3
SkyBridge,Data Scientist,"Statistics, SQL, Scrum, Machine Learning, JIRA, Python",8.2
FutureProof,DevOps Engineer,"Scrum, CI/CD, Google Cloud Platform, JIRA, Ansible",8.3
RedShift,Full-Stack Developer,"JavaScript, JIRA, React, API Development, Git",7.7
InnovateTech,UI/UX Designer,"Scrum, API Development, JIRA, Figma",8.7
NeuralNet Systems,Cloud Architect,"JIRA, API Development, Security, Git, Networking, Kubernetes, Google Cloud Platform",7.9
Stellar Solutions,Cloud Architect,"System Design, JIRA, Azure, Security, Terraform, Networking, Scrum, Git",7.7
NetSphere,Backend Developer,"PostgreSQL, Ruby, Scrum, Python, Agile, NoSQL, JIRA",7.3
QuantumLeap,Cloud Architect,"Terraform, AWS, JIRA, Agile, System Design, Networking, Security, Git",7.5
Vertex Dynamics,Mobile App Developer,"Kotlin, Agile, API Development, Git, React Native, Objective-C, Android SDK, Scrum",7.4
Infinite Loop,Full-Stack Developer,"React, JIRA, MongoDB, Python, HTML, CSS",8.1
Zenith Tech,DevOps Engineer,"AWS, Google Cloud Platform, CI/CD, API Development, Docker, JIRA",7.2
TerraForm Inc.,Data Scientist,"Scikit-learn, R, Python, Agile, SQL",7.6
Vertex Dynamics,Cloud Architect,"AWS, Agile, Kubernetes, System Design, Security",7.9
FusionWorks,UI/UX Designer,"Adobe XD, Agile, Wireframing, Scrum, JIRA, UI/UX Design, Git",8.3
BlueShift,Mobile App Developer,"Flutter, JIRA, Git, Objective-C, Kotlin",7.6
NetSphere,Data Analyst,"Agile, Data Visualization, Scrum, Pandas, API Development, Tableau",7.3
NanoWare,Frontend Developer,"Webpack, Vue.js, TypeScript, SASS, Angular, Scrum, Git, React",8.3
QuantumLeap,UI/UX Designer,"Scrum, Git, Agile, Wireframing, User Research, UI/UX Design",7.7
SynthCore,DevOps Engineer,"Google Cloud Platform, Prometheus, Kubernetes, Azure, AWS",7.1
ByteForce,Frontend Developer,"Scrum, TypeScript, Next.js, API Development, JIRA, Angular, Webpack",8.8
Apex Innovations,Security Analyst,"Scrum, Agile, Cybersecurity, Git, Ethical Hacking, Network Security, Penetration Testing, JIRA",8.8
FutureProof,Backend Developer,"MongoDB, NoSQL, Kubernetes, C#, Python, API Development",8.1
NextGen AI,Security Analyst,"SIEM, Ethical Hacking, Cryptography, Git",7.4
Apex Innovations,Full-Stack Developer,"React, API Development, HTML, Node.js, JavaScript",7.1
NovaPulse,Software Engineer,"Data Structures, Kubernetes, Go, Algorithms, Docker, System Design",8.9
NeuralNet Systems,Software Engineer,"API Development, Data Structures, C++, Kubernetes, JIRA, Python",7.1
Apex Innovations,Machine Learning Engineer,"Scikit-learn, NLP, Git, Keras, PyTorch",8.6
Synergy Systems,Backend Developer,"JIRA, Ruby, Git, PostgreSQL",7.2
FutureProof,UI/UX Designer,"Sketch, Figma, Agile, UI/UX Design, API Development",8.4
Visionary AI,UI/UX Designer,"Scrum, Sketch, Agile, API Development, Adobe XD, Git, JIRA",8.3
QuantumLeap,Software Engineer,"Scrum, System Design, C++, API Development, Docker, JIRA, Algorithms, Python",7.2
NanoWare,UI/UX Designer,"Agile, UI/UX Design, Sketch, JIRA, Scrum, Figma",8.7
LogicLoop,Software Engineer,"System Design, Data Structures, Python, Algorithms, C++",8.1
TerraForm Inc.,Backend Developer,"Ruby, REST APIs, Kubernetes, NoSQL, Scrum, Java, Docker, Agile",7.5
AeroVerse,Cloud Architect,"Scrum, JIRA, AWS, API Development, Networking",7.5
DigitalFrontier,Software Engineer,"Python, Docker, C++, Kubernetes, JIRA, Algorithms, Go",7
Synapse Corp,Data Analyst,"Scrum, Tableau, API Development, JIRA",7.6
Predictive Analytics,UI/UX Designer,"User Research, Scrum, API Development, Git, Adobe XD, Sketch, UI/UX Design",7.3
AquaGen,Data Scientist,"Scikit-learn, Data Visualization, NumPy, Python, Statistics",7.4
Keystone Digital,Frontend Developer,"HTML, Next.js, Webpack, Agile, React",8.1
Momentum Labs,Full-Stack Developer,"Python, JIRA, JavaScript, Agile, SQL, Scrum, Git, MongoDB",7.7
AquaGen,Data Analyst,"JIRA, SQL, Git, Pandas, Tableau, Python",8.6
WebWeavers,Full-Stack Developer,"Node.js, Scrum, HTML, CSS",7.4
Zenith Tech,Data Scientist,"NumPy, Scrum, Statistics, Pandas",7.7
P pinnacle Corp,Cloud Architect,"Git, Terraform, Google Cloud Platform, Kubernetes, JIRA, Scrum",7.2
Apex Innovations,Machine Learning Engineer,"NLP, TensorFlow, JIRA, Pandas, Computer Vision, Git",8.8
Alpha Systems,Machine Learning Engineer,"Git, Scrum, JIRA, PyTorch, Agile",8.2
FutureProof,Machine Learning Engineer,"TensorFlow, Pandas, NumPy, Keras, Scrum",8.4
Alpha Systems,Cloud Architect,"Terraform, Scrum, AWS, API Development, Azure, Networking, Google Cloud Platform",7.2
Predictive Analytics,Full-Stack Developer,"REST APIs, Git, JIRA, Agile",7.1
CyberGuard,Software Engineer,"Agile, Java, Kubernetes, Docker, C++, Algorithms, Go",8.2
Vertex Dynamics,Cloud Architect,"Azure, JIRA, AWS, Git",7.2
Orion Enterprises,Full-Stack Developer,"Node.js, Python, API Development, SQL, MongoDB, Git, JIRA",9
CloudNine,Frontend Developer,"JIRA, Webpack, React, API Development, SASS",8.9
P pinnacle Corp,Full-Stack Developer,"Node.js, JavaScript, API Development, JIRA",8.4
Predictive Analytics,Backend Developer,"MongoDB, Java, C#, Python, NoSQL, Kubernetes, Ruby, SQL",7.8
EchoSphere,Full-Stack Developer,"CSS, MongoDB, REST APIs, React",8.6
Infinite Loop,Data Scientist,"API Development, Scikit-learn, Git, Agile, SQL, Scrum, JIRA",7.6
Orion Enterprises,Full-Stack Developer,"CSS, Agile, REST APIs, GraphQL, SQL, API Development",8.1
Predictive Analytics,Software Engineer,"Git, System Design, Python, API Development, Docker, Algorithms, Kubernetes, Agile",7.5
BioSynth,Full-Stack Developer,"Scrum, HTML, API Development, GraphQL",7.6
WebWeavers,DevOps Engineer,"Scrum, AWS, Azure, CI/CD, Agile, Docker",9
BlueShift,Data Scientist,"SQL, Deep Learning, Git, API Development, Pandas",8.9
Omega Solutions,Mobile App Developer,"Swift, API Development, Kotlin, Objective-C, Git, iOS SDK, Android SDK, Agile",7.3
BinaryBridge,Data Analyst,"JIRA, SQL, Python, Statistics, Agile",8.7
PixelPerfect,UI/UX Designer,"Scrum, UI/UX Design, API Development, Sketch",9
DataSphere,Backend Developer,"Agile, Python, NoSQL, Node.js, Git, GraphQL, JIRA",7.9
WebWeavers,Data Analyst,"Statistics, Tableau, Agile, API Development, Python, SQL",8.9
AquaGen,Security Analyst,"Network Security, Cryptography, Git, Penetration Testing, Cybersecurity, API Development, Ethical Hacking",7.5
Cognitive AI,Backend Developer,"Scrum, Python, C#, Go, PostgreSQL, MongoDB, Git, JIRA",7.9
CodeCrafters,Data Scientist,"Deep Learning, TensorFlow, Git, PyTorch, Scrum, API Development",8.5
Cognitive AI,Data Analyst,"API Development, Git, Power BI, Pandas, Statistics",7.8
DataSphere,Data Scientist,"Data Visualization, Scikit-learn, Agile, Deep Learning, Scrum",8.6
ByteForce,Data Analyst,"API Development, Git, Statistics, Tableau, Python, Power BI, Data Visualization, JIRA",8.5
NovaPulse,Mobile App Developer,"Flutter, Scrum, API Development, Agile",8.5
Insight Data,Software Engineer,"System Design, Docker, Scrum, API Development, Go, Agile, Java",7.6
Omega Solutions,Data Analyst,"Scrum, Statistics, JIRA, SQL, Agile, Tableau, Data Visualization",7.3
FusionWorks,Backend Developer,"PostgreSQL, Node.js, REST APIs, Java, NoSQL",7.8
InnovateTech,Full-Stack Developer,"Git, Agile, GraphQL, JIRA, REST APIs",7.7
Orion Enterprises,Backend Developer,"MongoDB, Scrum, API Development, Docker, Node.js, Java, NoSQL",7.1
Omega Solutions,Machine Learning Engineer,"NumPy, PyTorch, Python, Git, NLP, Scrum, TensorFlow, API Development",8.1
ByteForce,Machine Learning Engineer,"Git, Keras, Python, NLP, JIRA",8.5
RedShift,Backend Developer,"Docker, Scrum, Java, Agile, Go, API Development",7.7
CloudNine,Mobile App Developer,"React Native, Android SDK, iOS SDK, Swift, Scrum, Agile, Objective-C, JIRA",7.4
Keystone Digital,Data Analyst,"Tableau, Scrum, SQL, Excel, Agile, JIRA, Python",8.2
Keystone Digital,Data Scientist,"Machine Learning, Data Visualization, JIRA, TensorFlow, Statistics, Pandas, Git",8.5
NanoWare,DevOps Engineer,"JIRA, Kubernetes, Prometheus, Agile, Ansible, AWS, Jenkins, Scrum",7.2
Quantum Solutions,Cloud Architect,"Google Cloud Platform, Terraform, Git, System Design, AWS, Networking, Scrum",7.5
Omega Solutions,Full-Stack Developer,"HTML, MongoDB, React, API Development, SQL",8.1
Visionary AI,Data Scientist,"Scikit-learn, JIRA, PyTorch, Pandas, Scrum",7.2
CodeCrafters,Cloud Architect,"JIRA, Networking, Scrum, Kubernetes",8.4
Orion Enterprises,UI/UX Designer,"UI/UX Design, Adobe XD, API Development, Figma, Scrum",8
Quantum Solutions,Software Engineer,"Kubernetes, Algorithms, Go, Java",8
ByteForce,Security Analyst,"API Development, Penetration Testing, Git, JIRA, Ethical Hacking, Scrum",9
Orion Enterprises,Backend Developer,"NoSQL, Python, Docker, Scrum, GraphQL, Node.js, Git",8.6
EchoSphere,DevOps Engineer,"Ansible, JIRA, Jenkins, Terraform, Docker, Agile, AWS, API Development",8.2
BioSynth,Machine Learning Engineer,"API Development, Scikit-learn, Python, Git",8.7
Visionary AI,DevOps Engineer,"Prometheus, Azure, Terraform, CI/CD",8.4
DataSphere,Mobile App Developer,"iOS SDK, Kotlin, Android SDK, Git, JIRA, React Native",8.2
InfraCloud,Mobile App Developer,"Flutter, iOS SDK, Git, Scrum",7.7
Omega Solutions,UI/UX Designer,"Sketch, Wireframing, Scrum, Adobe XD",7.7
Stellar Solutions,Security Analyst,"Penetration Testing, Cryptography, Network Security, Ethical Hacking, SIEM, JIRA, Git",7.4
Infinite Loop,Machine Learning Engineer,"JIRA, API Development, PyTorch, NLP, Git, Pandas",8.9
Stellar Solutions,Cloud Architect,"Agile, Google Cloud Platform, System Design, Terraform",7.8
BioLogics,UI/UX Designer,"Scrum, Git, JIRA, Adobe XD",7.9
DataSphere,Frontend Developer,"TypeScript, CSS, React, API Development",7.3
Visionary AI,Backend Developer,"Kubernetes, NoSQL, PostgreSQL, REST APIs, Java, SQL",8.8
NovaPulse,DevOps Engineer,"Docker, Git, Google Cloud Platform, Terraform, Jenkins, Scrum",7.6
RedShift,Backend Developer,"GraphQL, Node.js, Agile, MongoDB, JIRA, Scrum, API Development, Ruby",7.2
FusionWorks,Frontend Developer,"HTML, Angular, Git, Redux, Vue.js, Next.js, API Development, JavaScript",8.3
InnovateTech,Mobile App Developer,"Android SDK, React Native, Objective-C, JIRA, Agile, Flutter, API Development",8.7
BlueShift,Security Analyst,"API Development, Network Security, Penetration Testing, Cybersecurity, Git, JIRA, Agile, Cryptography",8.6
InnovateTech,Software Engineer,"API Development, Git, JIRA, Docker, Python",7.8
NanoWare,Machine Learning Engineer,"Python, Keras, NLP, API Development, Git",7.1
NeuralNet Systems,UI/UX Designer,"JIRA, Wireframing, Agile, Sketch, Figma",8.2
NanoWare,Frontend Developer,"CSS, SASS, Agile, TypeScript, Vue.js, HTML, Redux, Webpack",7.1
Zenith Tech,Machine Learning Engineer,"JIRA, API Development, PyTorch, TensorFlow, NLP, Scrum, Computer Vision, Scikit-learn",7.5
LogicLoop,Data Analyst,"Git, Power BI, Excel, SQL, JIRA",7.5
Cognitive AI,Full-Stack Developer,"Python, REST APIs, Scrum, API Development, Agile, GraphQL, SQL, HTML",8.5
ByteForce,Full-Stack Developer,"GraphQL, SQL, Node.js, Git",7.5
Omega Solutions,Cloud Architect,"AWS, Scrum, Terraform, API Development, JIRA, Azure",7.6
Vertex Dynamics,Frontend Developer,"Next.js, CSS, SASS, Scrum, Angular, Redux, Vue.js",8.3
Vertex Dynamics,Cloud Architect,"Terraform, System Design, JIRA, Azure, Networking, Git, API Development, Google Cloud Platform",8.2
AeroVerse,Software Engineer,"API Development, C++, Java, JIRA, Algorithms, Docker, Scrum, Git",7.7
EchoSphere,Frontend Developer,"HTML, TypeScript, Scrum, Vue.js, API Development, Next.js",8.1
Polaris Tech,Data Scientist,"SQL, R, NumPy, Scrum, PyTorch",7.1
NetSphere,DevOps Engineer,"Git, Google Cloud Platform, Prometheus, JIRA, CI/CD, Terraform, Kubernetes, Agile",7.5
TerraForm Inc.,Mobile App Developer,"React Native, Git, API Development, Agile",7.6
AeroVerse,Data Analyst,"Git, JIRA, Python, API Development, Statistics",7.8
CyberGuard,UI/UX Designer,"User Research, Wireframing, Git, Sketch, JIRA",8.2
Quantum Solutions,Frontend Developer,"React, Angular, Vue.js, API Development, Scrum, CSS",8.3
FutureProof,Data Scientist,"Agile, Deep Learning, SQL, Data Visualization",7.2
EchoSphere,Software Engineer,"Git, C++, Data Structures, Kubernetes, Java, API Development, Scrum, Docker",8.9
QuantumLeap,Security Analyst,"Network Security, Ethical Hacking, Cybersecurity, Scrum, Agile",8.4
RedShift,Cloud Architect,"API Development, Kubernetes, Agile, Networking, Terraform",8.1
NovaPulse,Machine Learning Engineer,"Agile, Git, PyTorch, NumPy, JIRA, Scikit-learn",8.8
EchoSphere,UI/UX Designer,"UI/UX Design, Git, Agile, JIRA, Sketch, Wireframing, Scrum, Figma",8.9
InfraCloud,Mobile App Developer,"Flutter, iOS SDK, API Development, Swift, Kotlin",7.8
Infinite Loop,DevOps Engineer,"Scrum, Azure, Jenkins, AWS, Git, Terraform",8.6
Synapse Corp,Data Scientist,"Deep Learning, Agile, Statistics, API Development, R",7.2
SynthCore,Backend Developer,"Ruby, Scrum, REST APIs, GraphQL, Git, C#",8.5
AquaGen,Security Analyst,"Network Security, Scrum, Penetration Testing, Ethical Hacking, Git, SIEM, Cryptography, JIRA",7.9
BlueShift,Cloud Architect,"Security, Agile, API Development, Google Cloud Platform",8.6
AeroVerse,Full-Stack Developer,"JavaScript, Python, HTML, Scrum, GraphQL",7.8
FutureProof,Mobile App Developer,"Git, JIRA, Swift, iOS SDK, Scrum",7.3
PixelPerfect,Mobile App Developer,"API Development, Git, iOS SDK, Swift, Objective-C, Scrum",7.5
Orion Enterprises,Full-Stack Developer,"Scrum, Git, SQL, Node.js, HTML",9
TerraForm Inc.,Data Scientist,"API Development, Statistics, Git, Pandas, Scikit-learn, Python, SQL, Scrum",7.4
CodeCrafters,Machine Learning Engineer,"Scikit-learn, Git, NumPy, TensorFlow, Agile, JIRA",7.5
WebWeavers,Full-Stack Developer,"REST APIs, Scrum, Agile, Python, API Development",7.1
LogicLoop,Data Analyst,"Excel, Data Visualization, Scrum, SQL, Tableau, Agile, Statistics",8.6
EchoSphere,Frontend Developer,"Angular, Redux, Agile, Next.js, HTML, TypeScript, React, Git",7.9
Quantum Solutions,Data Scientist,"NumPy, Scrum, Deep Learning, Git, Python",7.7
HelioDynamics,UI/UX Designer,"API Development, Adobe XD, UI/UX Design, Figma, Wireframing, JIRA",7.5
Cognitive AI,UI/UX Designer,"Figma, UI/UX Design, Wireframing, Agile, Sketch, Adobe XD, Git",7.1
SkyBridge,UI/UX Designer,"JIRA, Scrum, Wireframing, Adobe XD",8.2
Zenith Tech,UI/UX Designer,"Agile, Figma, Git, UI/UX Design, Sketch, Scrum",7.8
NextGen AI,UI/UX Designer,"User Research, Wireframing, UI/UX Design, JIRA, API Development, Figma",8.3
CyberGuard,Data Scientist,"TensorFlow, Git, PyTorch, JIRA, Data Visualization, Deep Learning, SQL, Pandas",7.1
SkyBridge,Full-Stack Developer,"Python, MongoDB, React, REST APIs",7.9
DataSphere,Data Analyst,"Agile, Python, Data Visualization, Power BI, Statistics, Tableau",8.9
Vertex Dynamics,UI/UX Designer,"API Development, Scrum, Git, User Research, Sketch, Figma, UI/UX Design",7.4
Polaris Tech,Mobile App Developer,"Swift, Kotlin, Agile, Flutter",7.3
Predictive Analytics,Cloud Architect,"Kubernetes, AWS, Agile, Security, JIRA, Git",8.3
EchoSphere,Full-Stack Developer,"JIRA, JavaScript, SQL, MongoDB",7.7
AeroVerse,Mobile App Developer,"Kotlin, Git, Objective-C, Swift, iOS SDK, Agile, Scrum",8.7
Apex Innovations,Machine Learning Engineer,"TensorFlow, PyTorch, Computer Vision, Agile, JIRA, Scrum",7.1
CyberGuard,Data Analyst,"Power BI, Statistics, Scrum, Data Visualization, JIRA",7.6
CyberGuard,Machine Learning Engineer,"NLP, JIRA, PyTorch, API Development, Keras",7.7
NanoWare,Mobile App Developer,"Scrum, Agile, Git, Flutter, API Development, React Native, iOS SDK, Android SDK",7.5
AeroVerse,Backend Developer,"PostgreSQL, Go, Agile, Scrum",8.6
CloudNine,Software Engineer,"Python, Algorithms, Git, Scrum, C++, Java, Agile",8.3
FusionWorks,Backend Developer,"PostgreSQL, SQL, API Development, MongoDB, Node.js, Kubernetes, Python, Scrum",8.7
Orion Enterprises,UI/UX Designer,"User Research, Git, Scrum, Sketch",8.8
Keystone Digital,Backend Developer,"NoSQL, REST APIs, Ruby, Kubernetes, Node.js, MongoDB, Git, Agile",7.5
LogicLoop,Frontend Developer,"Agile, Next.js, SASS, Git, CSS, API Development",9
Predictive Analytics,Data Analyst,"Pandas, SQL, Git, Scrum, API Development, Statistics",8.9
Predictive Analytics,Backend Developer,"Kubernetes, REST APIs, Docker, Agile, SQL, Ruby, Scrum",7.2
Synergy Systems,Security Analyst,"Git, Ethical Hacking, Penetration Testing, Network Security, API Development",8.5
Momentum Labs,Backend Developer,"PostgreSQL, Python, MongoDB, Node.js",7
WebWeavers,Backend Developer,"C#, Scrum, GraphQL, API Development, REST APIs, SQL, Git, Agile",8
AquaGen,Backend Developer,"Ruby, JIRA, Java, PostgreSQL, NoSQL, REST APIs, GraphQL",7.1
ByteForce,DevOps Engineer,"Scrum, Prometheus, Docker, Jenkins, Google Cloud Platform, AWS, Kubernetes",8.3
Orion Enterprises,Machine Learning Engineer,"API Development, NLP, TensorFlow, Agile, Scikit-learn",7.6
NeuralNet Systems,DevOps Engineer,"API Development, Docker, Azure, Agile, Prometheus, Scrum",7.6
Insight Data,Machine Learning Engineer,"JIRA, Pandas, Scrum, API Development, TensorFlow",8.8
BlueShift,Mobile App Developer,"Git, JIRA, Objective-C, Scrum",8.3
Infinite Loop,Mobile App Developer,"Swift, Android SDK, JIRA, Agile",7.8
SkyBridge,Cloud Architect,"Google Cloud Platform, Scrum, System Design, JIRA",7.7
NovaPulse,Cloud Architect,"System Design, Terraform, AWS, Networking, JIRA, Azure, Google Cloud Platform, Agile",7.4
InfraCloud,Cloud Architect,"Security, Scrum, Git, Networking, API Development, JIRA, System Design, Terraform",7.5
CyberGuard,Machine Learning Engineer,"Scrum, Agile, Keras, TensorFlow",8.4
CyberGuard,DevOps Engineer,"Kubernetes, Terraform, Docker, Prometheus",8.1
SynthCore,Frontend Developer,"Redux, TypeScript, Vue.js, JavaScript, Angular, API Development, Agile, Webpack",7.7
Orion Enterprises,Frontend Developer,"Agile, SASS, HTML, JIRA, Scrum, TypeScript, API Development, JavaScript",7.2
QuantumLeap,UI/UX Designer,"Wireframing, User Research, Figma, Git, API Development, Agile",7.3
AquaGen,Software Engineer,"Scrum, JIRA, Kubernetes, Go, System Design, Java, Data Structures, API Development",7.2
EchoSphere,Security Analyst,"SIEM, API Development, Git, JIRA, Ethical Hacking",8.8
Insight Data,Security Analyst,"Scrum, API Development, SIEM, Penetration Testing, JIRA, Agile",8.6
